cellLine	type	ABDHD5	ACVR1B	ALOX5AP	C3AR1	CD4	CKB	CPZ	CTNNBL1	CXCL16	DHX35	DSN1	GNG11	HERC5	IGFBP7	IGSF9	INPP5D	LDLR	LINC01816	MILR1	MYO5A	NEXN	NOL4L	PLCB1	PLCG2	PODN	RNF24	RPRD1B	SELPLG	SERPINF1	SLC15A3	STOM	TACC1	TARBP2	TMEM140	TNFSF13B	TPP1	TRPM2	TSPAN31	TTI1	UQCC1	WDPCP	ZNF738
HOSE	ovarian	2.97	2.78	6.57	8.98	9.42	4.18	7.01	1.64	16.00	3.17	1.38	-0.11	5.78	-0.70	6.68	10.38	3.84	8.47	5.73	2.50	1.71	1.26	3.92	8.15	12.52	2.09	0.84	10.55	7.59	8.72	2.27	-0.69	5.57	7.97	7.00	1.56	18.93	1.89	2.39	1.54	4.52	3.30
FTI194	ovarian	0.52	2.64	5.07	7.83	11.07	-0.96	7.95	1.29	16.00	2.96	1.05	-0.88	3.60	-0.97	8.66	4.76	-0.32	8.23	0.94	1.92	0.95	0.88	7.69	3.25	8.12	1.84	-0.03	7.45	4.87	3.68	0.74	-0.89	5.51	3.50	5.63	0.56	17.62	0.88	1.95	0.63	4.25	3.67
COV318	ovarian_cancer_commercial	2.04	3.02	16.73	8.06	6.78	-0.17	5.92	0.17	15.85	1.25	0.83	-1.51	2.85	-0.38	5.05	13.31	-0.60	3.70	7.43	3.93	2.06	-0.08	0.52	0.55	16.66	4.48	-0.72	9.94	11.51	0.87	0.77	0.80	5.21	9.48	8.81	1.23	14.23	0.85	1.19	-0.26	3.28	1.64
HEY	ovarian_cancer_commercial	1.19	3.04	5.54	7.21	10.60	2.71	7.71	1.27	16.00	1.54	1.92	-0.79	6.30	1.03	9.94	7.66	-0.16	8.57	4.22	2.49	1.28	0.80	8.87	3.29	17.00	3.87	0.02	9.85	5.47	3.55	0.11	0.46	6.17	8.01	8.21	2.51	18.00	1.96	2.15	0.59	5.17	3.58
OV90	ovarian_cancer_commercial	2.16	2.03	4.11	10.64	14.51	-1.05	14.94	1.73	8.89	2.49	3.38	3.03	8.66	2.12	6.92	13.86	-0.11	10.14	5.21	6.73	4.46	1.84	0.56	2.74	7.27	3.04	0.06	9.57	4.44	3.16	-0.71	0.66	5.51	4.48	4.60	1.52	16.18	2.74	3.76	0.95	6.11	3.37
PEO1	ovarian_cancer_commercial	0.52	2.73	5.37	10.15	10.36	5.12	4.53	0.98	10.33	1.95	0.84	3.18	8.42	8.47	4.15	13.76	0.54	6.42	3.59	1.46	3.91	0.18	2.09	2.47	15.14	1.90	-0.30	10.26	11.38	2.85	4.25	0.55	3.58	6.61	7.81	1.69	17.87	0.30	1.75	0.91	3.10	1.93
OVCAR3	ovarian_cancer_commercial	0.52	2.56	11.19	12.88	6.38	-1.19	4.99	1.29	13.20	2.16	2.48	5.39	6.91	2.47	3.69	16.31	0.85	11.80	4.50	2.36	6.91	1.69	6.40	4.68	12.69	4.07	0.38	8.82	11.18	4.82	1.64	1.72	6.36	9.96	14.73	2.86	17.03	2.71	2.35	1.07	4.29	4.24
OVGEM2 	ovarian_cancer_primary	0.53	2.65	4.45	4.50	6.62	3.48	5.41	1.39	12.78	3.08	4.12	0.48	6.43	-0.70	6.46	8.00	1.07	7.71	3.80	1.14	0.22	1.44	4.05	3.05	4.65	1.71	1.18	3.65	4.16	3.31	0.41	0.47	6.58	4.47	6.26	0.35	15.03	1.55	3.36	1.38	3.99	5.04
OVGEM6 	ovarian_cancer_primary	0.58	2.22	5.46	8.87	7.09	2.02	0.53	1.51	15.70	3.18	4.20	0.58	8.59	-0.59	7.25	5.01	1.27	8.54	4.49	1.69	0.13	1.62	3.29	7.69	3.55	0.76	1.28	3.18	3.22	8.04	1.37	1.32	7.32	2.56	6.74	0.70	14.43	1.46	3.42	1.69	3.43	4.77
OVGEM8 	ovarian_cancer_primary	1.52	2.02	1.73	3.50	1.07	1.53	3.59	1.11	9.39	2.81	2.13	0.84	4.20	-0.08	2.41	2.04	2.04	7.49	2.90	2.55	2.20	1.46	2.63	2.24	2.96	2.73	0.21	2.01	-0.32	2.46	0.84	0.34	6.47	3.16	2.70	1.71	5.25	2.30	2.36	1.55	3.45	2.70
