sample	ABDHD5	ACVR1B	ALOX5AP	C3AR1	CD4	CKB	CPZ	CTNNBL1	CXCL16	DHX35	DSN1	GNG11	HERC5	IGFBP7	IGSF9	INPP5D	LDLR	LINC01816	MILR1	MYO5A	NEXN	NOL4L	PLCB1	PLCG2	PODN	RNF24	RPRD1B	SELPLG	SERPINF1	SLC15A3	STOM	TACC1	TARBP2	TMEM140	TNFSF13B	TPP1	TRPM2	TSPAN31	TTI1	UQCC1	WDPCP	ZNF738	y
S1	2.81	1.76	2.28	3.39	0.86	2.7	2.96	2.92	9.73	3.86	4.15	2.22	4.8	-0.43	4.25	3.41	2.09	9.34	3.86	3.36	2.42	1.99	2.69	3.89	3.84	3.63	1.64	2.34	-0.23	4.37	0.89	1.13	6.64	3.06	2.15	1.24	5.5	2.71	4.16	1.7	4.63	4.24	0
S3	1.53	2.51	1.44	4.16	0.56	1.24	3.91	4.51	10.68	4.41	5.06	0.84	4.42	-1.18	3.56	4.14	2.13	8.46	3.04	4.12	7.24	3	3.24	4.13	11.2	3.84	2.22	2.52	3.14	4.51	1.04	1.57	6.04	2.98	3.37	2.13	6.97	1.87	5.65	1.99	4.58	3.94	0
S4	1.32	2.15	3.34	3.88	0.95	2.08	2.61	2.57	8.36	3.37	3.67	1.16	4.57	-1.39	3.44	3.03	1.65	8.69	3.38	3.42	1.6	1.94	2.14	4.3	2.98	2.81	1.01	2.66	-1.24	4.67	0.37	0.41	6.61	2.82	2.98	1.33	6.98	1.69	3.65	1.34	3.43	1.52	0
S6	2.09	3.89	0.62	3.74	0.99	0.72	2.88	3.1	8.61	4.37	4.25	1.34	4.25	-0.65	3.38	3.9	3.52	7.4	1.87	3.28	3.79	1.7	3.87	2.71	3.96	4.27	1.61	1.91	-0.06	3.18	1.13	1.07	6.34	2.96	2.61	0.7	5.81	2.01	4.36	2.25	4.81	3.34	0
S7	1.82	2.93	3.61	4.94	2.63	1.07	4.55	2.2	7.6	3.17	3.02	0.05	3.29	-0.37	3.36	5.39	1.93	6.23	2.64	3.15	3.74	1.02	1.7	3.04	6.72	3.18	0.91	4.1	0.51	3.52	0.57	2.24	7.13	2.8	1.54	0.33	7.99	2.19	3.61	1.91	4.68	2.47	0
S8	2.55	2.25	1.62	3.9	1.41	2.01	2.81	2.53	10.21	2.72	3.34	1.48	3.67	-0.92	4.21	4.08	0.49	8.82	2.95	3.06	1.63	1.42	2.34	4.18	4.37	3.98	0.92	3.28	-1.04	4.68	0.6	0.61	6.56	3.76	2.81	1.21	6.36	3.12	3.45	1.75	3.99	2.91	0
S9	2.69	2.43	1.65	2.98	0.82	1.31	1.4	2.8	9.56	3.65	4.17	0.13	4.15	-1.36	4.67	3.87	2.49	7.64	3.01	3	1.54	2.06	4.04	4.23	2.12	3.29	1.37	2.66	-1.04	4.73	0.5	0.3	7.71	3.06	2.35	0.96	6.13	1.95	4.2	1.92	4.82	3.3	0
S20	2.15	3.32	3.58	4.73	2.82	2.21	5.21	3.55	7.69	4.65	3.91	2.42	4.82	-0.48	4.12	5.56	1.57	6.78	5.12	4.59	3.52	1.11	1.59	4.44	6.57	3.08	1.83	3.36	0.54	4.96	1.11	2.28	5.55	4.07	3.41	1.31	7.84	2.02	4.95	2.65	4.08	2.14	0
S21	3.58	4.25	1.9	2.69	0.8	1.7	4.39	2.15	9.42	4.6	3.61	0.73	8.06	-0.39	4.22	4.77	3.41	8.36	1.64	4.27	3.29	2.65	5.21	5.97	5.72	4.46	1.86	3.59	0.02	6.54	1.13	1.59	15	5.32	2.85	2.6	7.13	0.85	5.21	1.5	4.12	2.05	0
S23	1.07	1.78	0.29	2.48	0.31	-0.33	3.42	2.77	7.92	2.48	2.31	1	4.15	-0.1	2.17	2.85	0.79	8.65	2.4	2.65	4.93	-0.18	2.73	3.03	5.78	2.52	0.3	1.7	0.56	3.5	0.62	1.11	4.05	3.63	2.16	0.63	4.33	0.86	2.63	0.7	3.72	2.36	0
S27	2.84	1.76	2.52	4.82	2.76	-0.22	2.27	1.54	10.5	1.51	1.98	1.96	4.59	-0.24	2.8	5.35	6.29	4.74	4.52	4.49	3.91	0.03	1.73	3.22	3.15	3.28	-0.28	3.13	2.82	3.68	0.71	0.7	4.48	6.39	3.76	-0.14	7.84	0.35	2.27	0.36	2.66	2.03	0
S28	2.09	3.35	1.87	5.2	2.79	0.55	3.83	2.45	8.89	3.42	3.07	3.19	5.57	-0.27	4.55	5.03	1.04	5.77	1.73	4.45	5.19	0.41	1.49	2.25	7.01	2.22	0.88	3.65	3.45	2.71	1.95	0.64	6.15	5.39	3.71	2.52	6.91	2.19	3.37	1.34	4.26	2.65	0
S31	1.4	2.14	0.93	2.43	0.16	-0.95	4.04	2.22	6.59	2.91	2.31	2	2.46	-0.39	2.65	2.76	2.87	6.28	2.89	2.26	2.99	0.39	3.2	2.29	5.08	3.34	0.23	0.95	0.16	2.76	0.32	-0.03	4.53	2.02	0.61	0.35	4.05	1.24	2.85	1.04	4.52	2.24	0
S33	2.38	2.34	3.03	4.55	2.61	-0.3	2.72	1.53	10.93	2.44	2.5	2.06	3.69	-0.72	2.75	5.18	3.44	4.38	4.18	3.97	2.9	0.26	2.72	2.87	5.97	3.18	0.38	3.24	0.48	3.36	1.82	0.43	6.03	4.25	3.45	1.18	7.27	2.24	2.62	1.5	3.88	1.47	0
S35	2.8	2.61	2.14	3.26	1.2	2.73	2.41	2.51	9.05	3.47	3.77	1.9	6.58	-0.32	2.96	3.61	1.67	9.66	0.87	3.31	2.96	0.64	2.74	4.07	3.77	2.34	1.22	2.2	0.11	4.57	1.17	1.46	5.75	4.11	2.91	0.77	6.54	2.12	3.94	1.65	4.09	2.63	0
S36	1.35	2.56	1.44	3.24	0.94	0.39	2.07	2.22	9.91	3.42	3.42	-0.49	4.99	-0.93	4.14	3.09	0.78	6.25	2.31	2.12	2.09	0.6	1.88	2.37	1.84	2.88	0.92	2.1	-1.18	2.88	-0.33	-0.41	6.03	2.5	2.4	0.34	4.48	1.85	3.59	1.54	3.32	3.5	0
S37	1.62	1.95	2	3.21	0.63	1.29	2.65	1.92	9.9	3	3.05	1.69	2.68	-0.89	3.64	3.28	0.6	4.66	2.02	2.9	1.91	0.31	2.78	3.12	3.29	2.31	0.21	1.7	-0.62	3.66	0.19	0.39	5.29	1.81	1.18	0.38	4.92	1.09	3	1.03	3.46	3.03	0
S42	1.46	2.82	2.39	3.8	1.26	1.79	3.27	2.34	9.32	3.48	3.96	-0.06	5.49	-0.92	3.21	3.27	1.59	5.58	3.27	3.14	2.13	0.73	1.88	2.34	1.17	3.09	1.18	2.07	-0.77	2.8	-0.14	0.15	6.79	3.27	1.95	0.9	6.73	2.43	3.81	2.08	3.84	2.94	0
S43	2.1	4.14	2.07	2.71	0.58	3.62	4.47	3.35	9.42	4.43	4.82	2.09	3.98	-0.02	4.15	3.55	3.24	9.81	2.73	2.81	4.08	3.21	4.59	4.76	6.79	4.69	2.41	2.67	0.58	5.1	1.62	1.94	8.72	5.19	2.12	2.08	5.52	3.19	5.23	2.71	5.92	4.17	0
S46	1.58	4.07	2.76	4.54	1.62	3.07	6.64	3.88	12.77	4.74	3.66	0.98	6.58	0.25	4.02	5.42	4.67	4.84	4.96	4.71	5.16	3.97	5.04	6.31	7.66	7.42	2.69	3.66	1.82	6.68	1.85	1.33	6.37	5.2	4.46	2.42	6.94	3.72	5.14	4.17	5.39	6.41	0
S48	1.58	1.8	3.14	4.7	2.36	-0.78	1.93	1.72	8.95	2.7	2.47	1.08	2.08	-0.44	2.57	4.96	2.17	7.01	3.53	3.28	3.15	0.75	4.25	4.45	5.14	2.93	0.8	3.93	1.32	4.76	0.92	0.36	7.23	2.34	3.81	1.3	7.07	2.09	2.9	1.04	3.43	2.29	0
S50	2.28	3.47	4.14	6.41	3.93	3.95	6.87	3.51	8.85	3.77	4.44	3.15	4.41	0.98	4.02	7.57	2.51	8.66	5.23	3.27	6.22	2.07	3.69	4.75	14.29	3.72	1.86	5.63	7.33	5.11	2.51	1.63	8.84	6.87	3.89	3.25	9.61	2.96	3.9	2.56	3.85	2.96	0
S52	1.79	2.89	0.88	2.01	0	0.69	2.95	1.92	6.76	2.96	2.3	2.03	2.72	-0.03	2.73	2.19	0.85	6.8	1.95	2.02	2.85	0.94	3.12	2.68	4.03	3.26	0.77	1.4	0.19	2.92	0.75	0.95	5.96	3.01	0.84	0.82	3.13	2.06	2.94	1.54	4.14	2.97	0
S54	2.13	2.28	4.96	6.41	4.01	3.21	6.49	1.32	17.6	2.06	2.66	3.56	5.51	0.99	1.97	6.41	2.41	6.35	6.53	4.46	4.01	0.87	1.86	2.91	7.34	2.43	0.79	5.86	0.5	3.15	3.45	3.53	6.24	7.25	6.9	2.72	9.37	3.19	2.62	1.35	3.57	1.87	0
S60	4.47	3.8	3.67	4.91	1.19	8.65	2.77	4.1	14.08	3.41	5.17	1.1	7.05	-0.57	7.44	3.44	4.59	11.57	2.59	3.87	2.27	3.96	4.97	4.07	3.76	5.68	2.56	3.99	0.85	4.47	2.05	2.19	10.41	7.39	3.76	3.06	6.07	5.03	5.24	2.33	4.55	4.55	0
R1	3.23	2.33	2.91	5.54	2.54	1.62	5.4	2.14	9.69	2.69	3.3	2.81	5.86	0.37	3.32	5.11	3.33	5.39	3.24	5.02	4.34	0.57	2.15	5.11	7.08	2.87	0.9	4.33	1.65	5.72	1.65	2.66	6.42	5.74	4.34	2.11	8.81	1.83	3.16	1.07	3.78	1.85	1
R3	3.51	2.37	6.52	8.38	4.37	0.22	6.03	1.89	12.75	2.51	2.47	4.34	4.43	1.55	3.06	5.59	5.07	7.4	7.58	5	5.73	0.39	2.03	6.72	8.66	2.52	0.32	6.55	4.01	7.27	2.96	2.98	5.39	5.96	5.63	2.62	11.02	1.45	2.69	0.65	3.98	1.17	1
R4	3.05	2.43	4.24	4.68	2.16	2.49	8.85	2.48	11.15	3.58	3.29	4.1	5.49	1.64	3.41	5.54	3.02	6.07	4.53	3.85	7.37	2.33	2.96	5.31	12.19	2.56	1.12	3.62	4.02	5.85	2.35	2.95	5.65	5.14	3.33	2.3	7.13	1.46	3.65	1.43	3.84	2.12	1
R5	4.1	3.84	3	6.02	3.19	0.85	6.93	3.65	12.82	4.38	4.74	3.12	6.65	0.9	3.5	7.09	6.19	7.75	5.31	6.07	6.53	2.34	3.16	6.35	8.54	3.24	2.18	3.82	2.51	6.94	2.32	2.95	5.83	5.33	4.87	2.94	9.61	1.42	4.82	2.45	4.76	3.08	1
R6	3.89	1.85	4.75	7.6	5.03	1.24	6.31	1.91	11.63	2.66	3.19	3.18	6.3	-0.18	2.43	8.29	3.58	5.08	6.55	6.17	4.08	0.87	2.79	7.26	7.16	3.68	0.85	6.22	1.33	7.87	1.76	3.57	6.06	6.67	6.08	1.94	10.49	1.9	3.2	1.19	4.04	1.98	1
R7	3.12	2.54	4.53	6.06	4.14	0.28	3.98	1.23	11.82	2.05	2.73	2.43	5.05	-0.03	3.07	6.21	2.78	5.74	4.98	3.91	3.78	0.17	1.47	4.47	5.13	2.14	-0.09	5.09	0.46	4.94	2	1.98	5.3	5.11	4.89	1.38	8.34	1.47	2.56	0.17	3.22	2.69	1
R24	1.29	1.67	1.65	3.09	1.43	-0.65	2.9	2.19	8.42	3.49	3.34	2.6	2.46	-0.4	2.86	3.47	3.5	5.83	1.79	2.6	2.7	0.35	2.52	3.71	4.14	2.87	0.52	2.1	0.28	4.22	0.56	0.79	6.39	1.61	1.96	0.45	6.09	0.71	3.34	1.29	4	3.27	1
R25	2.19	3.06	4.38	5.53	3.82	0.78	7.22	2.94	8.31	3.83	4.09	3.82	3.42	0.98	3.63	6.82	1.42	6.43	4.82	4.46	4.62	0.57	2.62	5.45	9.7	3	1.3	3.63	3.82	6	1.27	-0.16	6.15	3.88	2.04	1.93	9.09	3.48	3.92	1.74	4.41	2.13	1
R26	1.12	2.99	0.51	2.36	0.33	1.19	2.91	2.17	9.47	3.09	2.51	1.22	2.46	-0.85	3.61	2.82	2.17	6.2	2.48	2.34	2.8	0.73	3.24	2.89	4.47	2.88	0.5	1.1	-0.73	3.35	0.14	0.83	5.68	2.37	0.96	0.43	4.01	2.3	2.76	1.21	3.83	2.36	1
R27	1.55	1.9	0.61	3.67	1.19	-0.83	2.39	2.11	9.76	2.93	2.47	1.33	5.36	-1.03	2.14	3.69	3.55	6.16	3.03	3.3	2.57	0.43	1.3	4.03	3.8	1.97	0.34	2.59	-0.61	4.55	0.42	0.91	4.92	3.5	2.99	0.1	5.36	0.9	2.62	0.67	4.66	2.19	1
R28	3.06	3.59	0.81	3.26	0.62	2.23	3.75	2.73	8.09	3.78	3.32	1.64	4.61	-0.59	2.91	2.98	2.45	7.27	2.23	2.97	2.23	1.1	2.83	3.01	3.41	2.64	1.09	1.84	-0.31	3.44	0.91	1.2	6.91	3.35	2.33	0.74	4.89	1.99	3.62	2.09	4.7	3.71	1
R34	2.04	2.59	2.19	3.4	1.39	0.91	2.23	1.88	9.73	2.83	2.78	1.23	5.73	-0.57	2.66	4.02	2.53	7.13	3.25	2.91	1.55	0.37	1.37	3.72	3.17	2.5	0.74	2.24	-0.16	4.16	0.69	0.86	7.1	4.08	2.51	0.6	5.49	1.59	3.06	0.8	2.82	3.46	1
R35	2.49	2.7	4.04	6.2	3.42	0.14	5.6	2.39	8.79	3.03	2.88	3.16	4.82	0.86	4.24	6.22	1.63	7.51	4.79	4.73	4.84	0.41	2.05	6.46	7.76	3.51	1.14	4.69	1.57	7	1.8	3.54	5.76	5.61	4.73	2.17	8.21	1.93	3.55	0.86	3.88	1.53	1
R36	2.56	2.08	1.5	3.18	1.12	-0.27	1.79	1.48	7.38	2.8	3.11	2.53	3.23	-0.2	2.17	3.32	2.55	7.01	2.98	3.04	3.33	-0.01	2.4	3.76	5.24	2.01	0.54	1.84	0.6	4.22	1.19	1.43	5.94	2.51	1.83	0.81	4.51	1.47	2.97	0.98	3.71	2.31	1
R43	1.31	2.06	1.36	2.73	0.42	-0.29	0.93	1.51	8.24	2.1	2.2	1.18	2.83	-0.86	1.6	2.94	1.14	7.13	2.42	2.61	1.53	0.23	3.69	2.75	3.73	2.41	-0.01	1.45	-0.67	3.2	-0.1	0.1	6.06	1.02	1.33	0.28	4.44	1.15	2.66	0.7	3.35	2.62	1
R23	4.4	3.04	2.19	3.83	1.89	0.8	3.55	2.75	10.14	3.91	4.06	3.53	4.68	0.32	4.22	4.2	3.04	8.05	3.7	3.49	3.85	1.44	1.93	4.75	2.84	2.84	1.95	3.88	0.31	5.07	1.36	1.78	7.82	4.61	4.05	2.08	6.17	3.68	3.65	2.63	4.57	4.55	1
R39	2.56	1.14	2.19	3.1	1.24	0.74	2.94	1.75	10.37	2.69	3.59	1.66	3.29	-0.22	3.66	4.23	3.87	7.74	2.81	3.35	2.85	2.1	2.52	4.26	4.76	3.12	1.31	2.55	1	4.56	1.37	1.69	7.04	4.69	2.77	1.85	6.03	2.12	3.18	1.66	3.56	2.97	1
R40	2.16	1.6	1.66	2.47	0.47	0.03	3.25	0.88	9.16	2.01	2.25	3.09	2.74	-0.29	2.44	3.24	2.7	3.87	2.88	2.88	3.48	0.67	1.75	3.98	3.65	3.09	0.13	1.75	0.18	4.2	0.98	1.39	4.69	1.86	1.9	1.01	4.66	1.15	2.5	1	2.61	2.95	1
R9	2.45	0.84	5.06	4.38	1.72	-0.09	4.31	0.63	18	1.16	1.6	1.07	4.96	0.05	2.07	5.06	2.38	5.49	4.36	4.24	4.1	-0.1	0.44	4.44	7.13	1.03	-0.66	3.57	0.68	4.93	1.24	1.08	4.8	5.24	3.88	1.33	7	0.47	1.55	0.22	2.35	1.26	1
