symbol	W	shift	ci95	wPvalue	fcFLag	sensitive	resistant	log2FoldChange	pvalue	padj
ABDHD5	162	-0.509936326539898	-1.05001364987185_0.0599819269556042	0.0755296634337456	0	7.76685441152618	6.76060140149767	-1.0272261063306	0.0755296634337456	0.003429419197788
ACVR1B	296.5	0.349964472525775	-0.129960606185536_0.919911765717304	0.165687653130212	0	8.61771869347888	9.56285030560257	1.0364165672339	0.165687653130212	0.003603176985548
ALOX5AP	203.5	-0.389948340625476	-1.3899813173297_0.56999404328193	0.427244706623931	0	7.67800484289432	6.11901754284991	-1.83875090954706	0.427244706623931	0.002851834897163
C3AR1	211.5	-0.389982427311381	-1.32000235369552_0.540019728787331	0.54568512842412	0	7.09780644220299	5.42643702951599	-1.56732790209496	0.54568512842412	0.004279609376036
CD4	178.5	-0.489987401548085	-1.28004325160189_0.21998887113906	0.16570256557554	0	8.75951463551177	7.09973522130377	-1.51164356689281	0.16570256557554	0.003135960737768
CKB	324.5	0.940026447044179	0.0500314725761092_1.79003478599333	0.040403545070577	0	9.26350252662921	10.4241199791303	1.29663902227957	0.040403545070577	0.003135960737768
CPZ	193	-0.49	-1.68_0.48	0.300486282289187	0	6.85885956006858	4.78611443901408	-2.26029787777304	0.300486282289187	0.000149883877673
CTNNBL1	338	0.529932878470635	0.0499725861270128_1.03002574480017	0.0178091445571665	0	8.4393238103676	9.49846871849092	1.09967867746801	0.0178091445571665	0.000149883877673
CXCL16	200.5	-0.469978256302719	-1.72004115998838_0.580044533742211	0.38709899418222	0	8.74322316169536	7.71750613957647	-1.15240114624881	0.38709899418222	0.004603469169461
DHX35	311	0.49002824203735	-0.0600462658168206_0.930025448961948	0.0836694766862812	0	7.02353928642572	8.05832597248622	1.12143776140015	0.0836694766862812	0.004603469169461
DSN1	306.5	0.430036749200834	-0.15999257446198_0.959975277679338	0.104508374633485	0	7.27442524145007	8.33361385191825	1.10017468910642	0.104508374633485	9.18e-05
GNG11	120	-1.09	-1.71_-0.34	0.00475161170286592	0	7.33576088951097	5.81944182583432	-1.51547038657038	0.00475161170286592	0.001335961674201
HERC5	233.5	-0.0199507236359264	-0.809959779192255_1.08990607801673	0.933887198422401	0	6.98554246380013	5.95672532785293	-1.0934372469779	0.933887198422401	0.003420640296291
IGFBP7	144.5	-0.419968465685332	-0.890065379247509_-0.0599390542145237	0.028373941215522	0	10.4669334277573	8.64665750574273	-1.88109753625941	0.028373941215522	0.000379320979518
IGSF9	320	0.560055638530955	-2.38386567544461e-05_1.09002698836744	0.0520029013351518	0	8.5193252570481	9.72019186667668	1.25398216243279	0.0520029013351518	2.02e-05
INPP5D	192	-0.41	-1.44_0.37	0.289550177565443	0	7.61899848094576	6.11085864611691	-1.41871713503563	0.289550177565443	0.001284952715134
LDLR	154.5	-0.680006610417118	-1.45995574912006_6.13351261482888e-05	0.0506042986569733	0	9.44129261739454	8.2647235460775	-1.17470703103074	0.0506042986569733	0.003577660822104
LINC01816	300	0.810046478160478	-0.339975578434807_1.70004689717099	0.141783829890738	0	4.48130609896477	6.4722696791171	1.95466176975657	0.141783829890738	0.003135960737768
MILR1	174	-0.6	-1.52_0.16	0.1366104353619	0	6.22718922352822	4.28247443277357	-1.74356850455201	0.1366104353619	0.003135960737768
MYO5A	200.5	-0.260026431176331	-0.930011805751282_0.310010407974806	0.38709899418222	0	7.12033976169785	5.84843283425318	-1.26514779105121	0.38709899418222	0.001632765525527
NEXN	203	-0.42997826799363	-1.23006105871854_0.490030096566581	0.420443965032622	0	7.53231770709541	5.71290254968881	-2.15261998270702	0.420443965032622	0.004279609376036
NOL4L	318	0.459948478522527	-0.0199996556036637_1.13003787870043	0.0579798225900212	0	8.21103071426555	9.3429175487856	1.19906820903241	0.0579798225900212	0.003278285046666
PLCB1	315	0.600012122718808	-0.040034013926667_1.35005572907282	0.0680475602070216	0	6.04519267694081	7.15772715161016	1.14543432358048	0.0680475602070216	0.004603469169461
PLCG2	143	-0.909991961632418	-1.70004778022487_-0.129931477390027	0.0259160619389307	0	6.65136292812876	4.93185384386411	-1.59813952519867	0.0259160619389307	0.000422049418795
PODN	200	-0.59	-2.04_0.79	0.384464731343503	0	7.78987123193141	5.94969129048425	-2.50601103884802	0.384464731343503	0.003278285046666
RNF24	356.5	0.590042164915753	0.199999693756039_1.11996510431399	0.00498148701999115	0	5.14739181693415	6.21264907724239	1.18625478956446	0.00498148701999115	0.003603176985548
RPRD1B	316	0.450055120083026	-0.0600125942633117_0.910032883782351	0.0645649194660798	0	7.54747990533078	8.48615743012289	1.11838170896516	0.0645649194660798	0.001284952715134
SELPLG	213.5	-0.229972396247789	-1.15004688596674_0.570000773610498	0.577605019436761	0	6.60686158598918	4.82571187358256	-1.69444238668701	0.577605019436761	0.001632765525527
SERPINF1	191	-0.420004829614972	-1.18997024301635_0.330012437054431	0.275730613990182	0	9.78433714802478	8.21966445233368	-1.88894877698633	0.275730613990182	0.003603176985548
SLC15A3	145	-0.980036843870032	-1.74994498304892_-0.170069529664299	0.0292633414705708	0	8.1860492578444	6.80714412075129	-1.22803966029965	0.0292633414705708	0.003135960737768
