sample	ABDHD5	ACVR1B	ALOX5AP	C3AR1	CD4	CKB	CPZ	CTNNBL1	CXCL16	DHX35	DSN1	GNG11	HERC5	IGFBP7	IGSF9	INPP5D	LDLR	LINC01816/LOC100133985	MILR1	MYO5A	NEXN	NOL4L/C20ORF112	PLCB1	PLCG2	PODN	RNF24	RPRD1B	SELPLG	SERPINF1	SLC15A3	STOM	TACC1	TARBP2	TMEM140	TNFSF13B	TPP1	TRPM2	TSPAN31	TTI1	UQCC1	WDPCP	ZNF738
S1	2.81	1.76	2.28	3.39	0.86	2.70	2.96	2.92	9.73	3.86	4.15	2.22	4.80	-0.43	4.25	3.41	2.09	9.34	3.86	3.36	2.42	1.99	2.69	3.89	3.84	3.63	1.64	2.34	-0.23	4.37	0.89	1.13	6.64	3.06	2.15	1.24	5.50	2.71	4.16	1.70	4.63	4.24
S3	1.53	2.51	1.44	4.16	0.56	1.24	3.91	4.51	10.68	4.41	5.06	0.84	4.42	-1.18	3.56	4.14	2.13	8.46	3.04	4.12	7.24	3.00	3.24	4.13	11.20	3.84	2.22	2.52	3.14	4.51	1.04	1.57	6.04	2.98	3.37	2.13	6.97	1.87	5.65	1.99	4.58	3.94
S4	1.32	2.15	3.34	3.88	0.95	2.08	2.61	2.57	8.36	3.37	3.67	1.16	4.57	-1.39	3.44	3.03	1.65	8.69	3.38	3.42	1.60	1.94	2.14	4.30	2.98	2.81	1.01	2.66	-1.24	4.67	0.37	0.41	6.61	2.82	2.98	1.33	6.98	1.69	3.65	1.34	3.43	1.52
S6	2.09	3.89	0.62	3.74	0.99	0.72	2.88	3.10	8.61	4.37	4.25	1.34	4.25	-0.65	3.38	3.90	3.52	7.40	1.87	3.28	3.79	1.70	3.87	2.71	3.96	4.27	1.61	1.91	-0.06	3.18	1.13	1.07	6.34	2.96	2.61	0.70	5.81	2.01	4.36	2.25	4.81	3.34
S7	1.82	2.93	3.61	4.94	2.63	1.07	4.55	2.20	7.60	3.17	3.02	0.05	3.29	-0.37	3.36	5.39	1.93	6.23	2.64	3.15	3.74	1.02	1.70	3.04	6.72	3.18	0.91	4.10	0.51	3.52	0.57	2.24	7.13	2.80	1.54	0.33	7.99	2.19	3.61	1.91	4.68	2.47
S8	2.55	2.25	1.62	3.90	1.41	2.01	2.81	2.53	10.21	2.72	3.34	1.48	3.67	-0.92	4.21	4.08	0.49	8.82	2.95	3.06	1.63	1.42	2.34	4.18	4.37	3.98	0.92	3.28	-1.04	4.68	0.60	0.61	6.56	3.76	2.81	1.21	6.36	3.12	3.45	1.75	3.99	2.91
S9	2.69	2.43	1.65	2.98	0.82	1.31	1.40	2.80	9.56	3.65	4.17	0.13	4.15	-1.36	4.67	3.87	2.49	7.64	3.01	3.00	1.54	2.06	4.04	4.23	2.12	3.29	1.37	2.66	-1.04	4.73	0.50	0.30	7.71	3.06	2.35	0.96	6.13	1.95	4.20	1.92	4.82	3.30
S20	2.15	3.32	3.58	4.73	2.82	2.21	5.21	3.55	7.69	4.65	3.91	2.42	4.82	-0.48	4.12	5.56	1.57	6.78	5.12	4.59	3.52	1.11	1.59	4.44	6.57	3.08	1.83	3.36	0.54	4.96	1.11	2.28	5.55	4.07	3.41	1.31	7.84	2.02	4.95	2.65	4.08	2.14
S21	3.58	4.25	1.90	2.69	0.80	1.70	4.39	2.15	9.42	4.60	3.61	0.73	8.06	-0.39	4.22	4.77	3.41	8.36	1.64	4.27	3.29	2.65	5.21	5.97	5.72	4.46	1.86	3.59	0.02	6.54	1.13	1.59	15.00	5.32	2.85	2.60	7.13	0.85	5.21	1.50	4.12	2.05
S23	1.07	1.78	0.29	2.48	0.31	-0.33	3.42	2.77	7.92	2.48	2.31	1.00	4.15	-0.10	2.17	2.85	0.79	8.65	2.40	2.65	4.93	-0.18	2.73	3.03	5.78	2.52	0.30	1.70	0.56	3.50	0.62	1.11	4.05	3.63	2.16	0.63	4.33	0.86	2.63	0.70	3.72	2.36
S27	2.84	1.76	2.52	4.82	2.76	-0.22	2.27	1.54	10.50	1.51	1.98	1.96	4.59	-0.24	2.80	5.35	6.29	4.74	4.52	4.49	3.91	0.03	1.73	3.22	3.15	3.28	-0.28	3.13	2.82	3.68	0.71	0.70	4.48	6.39	3.76	-0.14	7.84	0.35	2.27	0.36	2.66	2.03
S28	2.09	3.35	1.87	5.20	2.79	0.55	3.83	2.45	8.89	3.42	3.07	3.19	5.57	-0.27	4.55	5.03	1.04	5.77	1.73	4.45	5.19	0.41	1.49	2.25	7.01	2.22	0.88	3.65	3.45	2.71	1.95	0.64	6.15	5.39	3.71	2.52	6.91	2.19	3.37	1.34	4.26	2.65
S31	1.40	2.14	0.93	2.43	0.16	-0.95	4.04	2.22	6.59	2.91	2.31	2.00	2.46	-0.39	2.65	2.76	2.87	6.28	2.89	2.26	2.99	0.39	3.20	2.29	5.08	3.34	0.23	0.95	0.16	2.76	0.32	-0.03	4.53	2.02	0.61	0.35	4.05	1.24	2.85	1.04	4.52	2.24
S33	2.38	2.34	3.03	4.55	2.61	-0.30	2.72	1.53	10.93	2.44	2.50	2.06	3.69	-0.72	2.75	5.18	3.44	4.38	4.18	3.97	2.90	0.26	2.72	2.87	5.97	3.18	0.38	3.24	0.48	3.36	1.82	0.43	6.03	4.25	3.45	1.18	7.27	2.24	2.62	1.50	3.88	1.47
S35	2.80	2.61	2.14	3.26	1.20	2.73	2.41	2.51	9.05	3.47	3.77	1.90	6.58	-0.32	2.96	3.61	1.67	9.66	0.87	3.31	2.96	0.64	2.74	4.07	3.77	2.34	1.22	2.20	0.11	4.57	1.17	1.46	5.75	4.11	2.91	0.77	6.54	2.12	3.94	1.65	4.09	2.63
S36	1.35	2.56	1.44	3.24	0.94	0.39	2.07	2.22	9.91	3.42	3.42	-0.49	4.99	-0.93	4.14	3.09	0.78	6.25	2.31	2.12	2.09	0.60	1.88	2.37	1.84	2.88	0.92	2.10	-1.18	2.88	-0.33	-0.41	6.03	2.50	2.40	0.34	4.48	1.85	3.59	1.54	3.32	3.50
S37	1.62	1.95	2.00	3.21	0.63	1.29	2.65	1.92	9.90	3.00	3.05	1.69	2.68	-0.89	3.64	3.28	0.60	4.66	2.02	2.90	1.91	0.31	2.78	3.12	3.29	2.31	0.21	1.70	-0.62	3.66	0.19	0.39	5.29	1.81	1.18	0.38	4.92	1.09	3.00	1.03	3.46	3.03
S42	1.46	2.82	2.39	3.80	1.26	1.79	3.27	2.34	9.32	3.48	3.96	-0.06	5.49	-0.92	3.21	3.27	1.59	5.58	3.27	3.14	2.13	0.73	1.88	2.34	1.17	3.09	1.18	2.07	-0.77	2.80	-0.14	0.15	6.79	3.27	1.95	0.90	6.73	2.43	3.81	2.08	3.84	2.94
